NOMBRE;CODIGO;NIT;ORDEN;DEPARTAMENTO;MUNICIPIO;ID
( SECRETARIA DISTRITAL INTEGRACION SOCIAL );702271321.0;8999990619;TERRITORIAL;BOGOTA D.C .;DEFINIDO;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL CUNDINAMARCA;709368088.0;899999069;NACIONAL;CUNDINAMARCA;MOSQUERA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL CORDOBA;710102773.0;899999069;NACIONAL;CORDOBA;MONTERIA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL CESAR;708991377.0;899999069;NACIONAL;CESAR;VALLEDUPAR;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL CASANARE;709095491.0;899999069;NACIONAL;CASANARE;YOPAL;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL CALDAS;710676123.0;899999069;NACIONAL;CALDAS;MANIZALES;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL BOYACA;708916325.0;899999069;NACIONAL;BOYACA;CUBARA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL BOLIVAR;710428921.0;899999069;NACIONAL;BOLIVAR;CARTAGENA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL ARAUCA;708803887.0;899999069;NACIONAL;ARAUCA;ARAUCA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL ANTIOQUIA;709662217.0;899999069;NACIONAL;ANTIOQUIA;BELLO;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL AMAZONAS;708778667.0;899999069;NACIONAL;AMAZONAS;LETICIA;0
INSTITUTO COLOMBIANO AGROPECUARIO MAGDALENA;709189773.0;899999069;NACIONAL;MAGDALENA;SANTA MARTA;0
INSTITUTO COLOMBIANO AGROPECUARIO ICA SECCIONAL PUTUMAYO;708551171.0;8999990697;NACIONAL;PUTUMAYO;PUERTO ASIS;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL GUAINIA;708835392.0;899999069;NACIONAL;GUAINIA;INIRIDA;0
